go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	20121483	        97.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	18649448	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	22148720	        96.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	20712118	        98.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	19402495	        92.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	21572067	        97.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	20175584	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	22280818	       101.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	19600310	        96.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	17294833	        97.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	19030326	        97.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-8            	19483339	        99.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	12534699	       111.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	10564398	        96.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	12330028	       102.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	12512036	        93.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	13658676	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	11291824	        93.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	12754444	       108.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-8     	11389965	        94.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-8     	18024717	       101.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-8     	18434400	        96.63 ns/op	       0 B/op	       0 allocs/op
